Identity	2003	mystery	thriller	
Planet of the Apes	2001	action	adventure	thriller
Antitrust	2001	action	crime	drama
Dirty Pretty Things	2002	crime	drama	thriller
Bringing Down the House	2003	comedy		
Cradle 2 the Grave	2003	action	crime	drama
Death to Smoochy	2002	comedy	crime	drama
Hellboy	2004	action	fantasy	horror
Jui kuen II	1994	action	comedy	
Shi mian mai fu	2004	action	adventure	drama
Femme Fatale	2002	crime	drama	mystery
Lu ding ji	1992	action	comedy	
Back to the Future	1985	adventure	comedy	
Hei kek ji wong	1999	comedy	drama	romance
Resident Evil	2002	action	fantasy	horror
Back to the Future Part II	1989	adventure	comedy	
Ghost Ship	2002	horror	mystery	
Lu ding ji II: Zhi shen long jiao	1992	action	comedy	
I Spy	2002	action	adventure	comedy
Dead Ringers	1988	drama	thriller	